subject,age,gender,language,kbit,mated,income,ppvt,dccs,looking,grid
1,5,1,1,107,1,6,128,2,3,4
3,4.4,2,1,112,1,8,104,2,NA,3
5,4,1,3,112,1,6,111,2,2,1
6,5.1,1,1,110,0,1,105,2,0,0
7,5,1,3,116,1,8,119,2,3,4
8,6.3,1,1,92,1,9,122,2,2,1
9,6.3,1,1,83,1,9,119,2,1,1
10,4,1,1,121,1,9,136,1,NA,1
11,4,1,1,121,1,9,129,2,NA,1
12,6.3,2,1,124,1,9,113,3,0,2
13,4.8,1,3,107,1,8,106,2,4,4
14,4.7,2,2,105,1,6,104,1,2,2
18,4.6,2,2,94,1,6,106,1,3,4
19,5.3,1,1,104,0,2,80,1,1,0
20,5,2,1,131,1,7,117,2,2,4
21,4.1,2,2,63,1,6,96,1,2,4
24,4.2,1,1,110,1,7,134,2,3,4
27,4.1,2,2,130,1,9,126,2,4,4
28,4.4,1,3,137,1,2,139,2,1,4
30,4.1,1,3,101,1,6,113,2,2,4
32,4.5,2,3,105,1,6,129,2,NA,1
33,6.2,2,2,96,1,6,129,2,3,4
34,4.6,1,1,NA,1,9,NA,2,2,0
35,6.3,2,2,89,0,7,109,2,4,4
36,6,1,3,122,1,7,108,3,2,4
37,6.6,2,3,100,1,7,94,3,0,1
38,4.5,2,2,121,0,6,88,1,NA,4
39,5.3,1,2,92,1,6,98,3,3,3
40,6.5,2,2,92,0,1,127,3,1,0
41,6.6,2,3,133,0,5,90,3,4,4
42,4.3,2,1,99,1,5,74,2,2,2
43,6.5,1,1,85,1,5,109,2,1,1
44,5.9,2,3,115,1,5,102,3,3,4
46,6.5,1,3,109,1,6,98,2,2,1
48,5.9,1,1,83,0,2,NA,1,3,2
49,6.6,1,2,92,0,4,94,2,3,2
50,5.5,2,3,103,1,6,112,2,3,4
51,5.3,2,2,97,1,6,107,1,2,2
52,5.6,1,3,127,0,6,113,3,2,2
53,6.1,2,1,86,0,3,119,2,2,1
55,6.4,2,2,101,1,6,128,3,1,0
56,5.4,2,2,103,1,8,111,2,1,4
57,6,1,1,86,0,6,116,2,3,2
58,6.4,2,1,106,1,9,122,3,2,3
59,5.2,1,2,110,1,5,117,2,2,4
60,6.6,2,2,109,1,5,132,3,1,0
61,4,2,2,118,1,7,124,2,4,4
62,5.6,2,2,118,1,9,116,2,3,4
63,6.4,1,3,106,1,9,106,2,3,2
64,4.3,2,3,127,1,5,122,2,2,3
65,4.7,2,2,109,1,9,120,2,1,1
66,4.2,2,1,62,0,1,86,1,2,4
67,4.8,2,2,NA,1,6,NA,2,2,4
68,6.1,1,3,86,1,8,122,2,2,2
69,6.9,2,3,121,1,8,112,2,3,4
70,5.5,2,1,134,1,8,134,3,0,0
71,4.1,1,3,118,0,6,101,2,1,4
72,6.2,2,3,133,0,6,107,2,3,4
74,4.6,2,1,105,1,8,142,2,3,3
75,6.1,1,2,93,0,2,81,2,2,4
76,5.2,1,2,100,1,9,94,1,1,4
77,5.2,1,2,97,1,NA,113,2,3,3
78,6.8,2,1,113,1,9,116,3,0,2
79,5.1,1,3,110,0,5,98,3,3,4
81,5.3,2,3,104,1,7,130,3,3,4
82,5.1,1,2,94,1,9,115,2,2,4
83,6.5,1,2,98,1,9,106,1,4,4
84,5.5,1,3,112,0,6,107,2,2,4
86,5.4,2,3,103,0,1,109,2,3,3
87,5.1,2,1,107,1,9,108,2,2,4
88,5,2,1,97,1,9,126,2,2,3
89,5,2,3,94,1,8,104,2,3,2
