Year_Built,Square_Feet,Lot_Area,Fireplace,Sale_Price
2010,3712,11394,TRUE,394432
2009,3924,12858,TRUE,376162
2009,3870,10159,TRUE,395192
2009,3088,12883,FALSE,290941
2005,3082,12182,TRUE,220000
2009,4694,12919,TRUE,611657
2009,2716,6371,TRUE,224000
2009,2436,9215,FALSE,204500
2009,2948,4403,TRUE,222000
2010,3060,12853,TRUE,267916
2009,2428,9803,FALSE,179781
2009,2742,12003,TRUE,269500
2008,4450,17423,TRUE,501837
2008,4092,11844,TRUE,372500
2009,2767,8004,FALSE,263435
2008,5066,13518,TRUE,485000
2008,4084,12704,TRUE,253293
2009,4055,12350,TRUE,398800
2009,4026,12220,TRUE,402861
2008,4556,13891,TRUE,582933
2009,3004,9541,FALSE,233170
2008,3768,7390,TRUE,320000
2008,2936,9612,TRUE,244600
2008,3151,9262,TRUE,287090
2009,2752,8640,TRUE,252678
2009,2436,7862,FALSE,208300
2008,2872,7993,FALSE,225000
2009,2614,8640,FALSE,229456
2009,3532,9187,TRUE,370878
2008,3672,8125,TRUE,264500
2008,2900,7328,FALSE,224243
2009,1836,3951,FALSE,164500
2009,1836,3000,FALSE,173733
2008,3452,3830,TRUE,222000
1920,2188,4456,FALSE,113000
2009,3235,10933,TRUE,323262
2007,3244,3843,TRUE,230000
2009,2538,13159,FALSE,224500
2008,3864,12444,TRUE,394617
2007,4014,12474,TRUE,426000
2007,4162,14803,TRUE,385000
2008,4165,14948,TRUE,446261
2007,3164,12704,FALSE,317500
2007,3420,13891,TRUE,372402
2008,3724,10110,TRUE,336860
2008,3404,8769,TRUE,367294
2007,3600,8232,TRUE,370967
2007,2392,3710,TRUE,187687
2007,2708,7301,TRUE,217300
2008,3004,14587,TRUE,264132
2008,2845,12274,FALSE,227680
2007,2829,9428,TRUE,297900
2007,2735,8640,FALSE,212700
2007,2744,8640,FALSE,250580
2007,2856,11639,FALSE,182000
2007,3112,10800,TRUE,339750
2007,2436,7500,FALSE,230348
2007,1984,10616,TRUE,177439
2008,3517,11778,TRUE,395039
2008,3252,5587,TRUE,392500
2007,3244,3843,TRUE,294464
2007,3284,9520,TRUE,293077
2007,2700,12852,TRUE,264966
2008,2408,12018,FALSE,218689
2007,2838,8089,TRUE,392000
2006,3784,13870,TRUE,455000
2006,3606,12469,TRUE,356000
2007,3650,11694,TRUE,314813
2007,3388,12030,FALSE,318000
2006,3388,11825,TRUE,322400
2007,3468,12085,TRUE,318000
2007,4230,14333,TRUE,345474
2006,4242,14450,TRUE,415298
2007,4590,13641,TRUE,492000
2006,3658,13440,TRUE,338931
2006,3235,14154,TRUE,280000
2007,5104,13891,TRUE,479069
2006,3908,14226,TRUE,395000
2006,3952,14977,TRUE,440000
2007,4610,17169,TRUE,500067
2007,3734,16659,TRUE,260116
2007,3018,9709,TRUE,319500
2007,3743,10562,TRUE,325624
2007,2713,12568,TRUE,281500
2006,3126,10732,FALSE,250000
2005,2604,3901,TRUE,204000
2007,3738,7820,TRUE,318061
2006,2648,6240,TRUE,221370
2007,2264,15810,FALSE,181755
2005,2267,10237,TRUE,178900
2006,2066,13204,FALSE,168165
2006,2233,8857,TRUE,171925
2006,2444,9729,TRUE,198444
2007,2184,9018,TRUE,179540
2007,2604,8993,FALSE,176485
2007,2680,8899,FALSE,181134
2006,2028,8499,TRUE,156932
2007,2256,8229,FALSE,166000
2007,2184,7713,FALSE,177594
2007,2504,7697,FALSE,173500
2006,2516,3922,TRUE,172500
2006,2660,3922,TRUE,194201
2007,2532,3710,TRUE,185485
2006,3035,10936,TRUE,206580
2007,2738,9910,FALSE,213133
2007,3084,11830,TRUE,260261
2007,3932,12291,TRUE,419005
2006,3590,9986,TRUE,147000
2007,3056,9965,TRUE,235876
2007,3452,9416,TRUE,311872
2007,3378,9849,FALSE,248328
2007,2992,9158,FALSE,225000
2007,2676,8640,FALSE,208900
2006,2670,9000,FALSE,210400
2007,2688,8640,FALSE,255000
2007,2313,10411,FALSE,212109
2007,3794,9000,TRUE,303477
2007,2835,12217,TRUE,310013
2007,2635,10207,FALSE,227875
2007,3158,10440,TRUE,261329
2006,2200,7500,FALSE,146000
2006,2292,3523,FALSE,166000
2006,3076,3784,FALSE,193800
2006,2704,4230,TRUE,208900
2006,2704,3606,TRUE,194000
2006,3100,5330,FALSE,207500
2006,2482,4274,FALSE,199900
2006,1875,4251,FALSE,164700
2007,3960,9965,TRUE,383970
2006,4294,9965,TRUE,424870
2007,3294,9178,TRUE,250000
2006,4280,10481,FALSE,360000
2006,2988,10652,TRUE,279500
2007,2632,11175,TRUE,200141
2007,3294,10235,TRUE,246500
2007,4056,9588,TRUE,276000
2005,2548,8814,FALSE,203000
2006,2184,11103,TRUE,155835
2007,2416,6762,FALSE,195400
2007,2214,8145,FALSE,179400
2006,2660,8334,TRUE,167840
2006,2250,8536,FALSE,155000
2006,3198,5568,TRUE,375000
2006,3378,8368,FALSE,231713
2006,3110,8298,TRUE,267300
2007,3142,10991,TRUE,239000
2006,3284,10656,TRUE,248900
2006,3508,15306,TRUE,283463
2006,3648,12633,TRUE,392000
2007,2240,8402,FALSE,147000
2005,3854,19378,TRUE,320000
2006,3340,14859,TRUE,240000
2005,3912,13751,TRUE,309000
2005,4196,16023,TRUE,457347
2006,4918,18062,TRUE,545224
2006,3567,12292,TRUE,356383
2005,4860,16056,TRUE,556581
2006,3810,12438,TRUE,361919
2006,4548,16052,TRUE,535000
2005,4185,15922,TRUE,401179
2006,4355,13682,TRUE,438780
2005,3640,11302,TRUE,319000
2005,3278,9512,TRUE,294323
2006,4327,16387,TRUE,412083
2006,3845,16259,FALSE,342643
2006,4152,13891,TRUE,465000
2006,3461,12228,FALSE,293000
2005,3534,14215,TRUE,325300
2005,3296,13975,TRUE,300000
2005,3697,9942,TRUE,338500
2005,3499,11924,TRUE,345000
2005,3462,12867,TRUE,344133
2006,3443,10672,TRUE,298236
2005,3882,11643,TRUE,329900
2006,3055,11065,TRUE,281000
2005,3584,13758,TRUE,372397
2005,2736,6955,TRUE,202500
2005,2736,6792,TRUE,202665
2006,3372,7740,TRUE,332200
2006,3332,6373,TRUE,310090
2005,2632,10237,TRUE,169990
2005,2184,10237,TRUE,170440
2006,2230,10237,FALSE,169985
2006,2150,17104,TRUE,179665
2006,2742,14054,TRUE,219210
2006,2652,11660,FALSE,174190
2006,2184,15578,FALSE,172785
2004,3425,11631,TRUE,258000
2006,2230,9073,FALSE,185101
2006,2584,3087,TRUE,210250
2005,2496,3010,FALSE,167240
2005,2284,3010,FALSE,156820
2006,3087,3982,TRUE,264561
2006,2856,4045,TRUE,246578
2006,3357,12104,FALSE,287602
2005,3064,12447,TRUE,252000
2006,3340,15218,TRUE,336820
2006,3320,10182,TRUE,290000
2006,3008,10936,FALSE,199000
2006,2556,8640,FALSE,198600
2006,4676,13162,TRUE,405749
2006,2978,11216,TRUE,232600
2006,3034,10728,TRUE,266000
2005,2309,8125,FALSE,186500
2006,2346,8125,FALSE,197000
2006,2524,7200,FALSE,185000
2006,2594,7200,TRUE,187750
2005,2800,11024,FALSE,186800
2005,2262,13072,FALSE,132000
2004,2316,13072,FALSE,158000
2005,3184,11003,FALSE,229800
2006,2419,7406,FALSE,194000
