"","total_labor","cases","indirect_costs","holiday"
"1",4264,305657,7.17,0
"2",4496,328476,6.2,0
"3",4317,317164,4.61,0
"4",4292,366745,7.02,0
"5",4945,265518,8.61,1
"6",4325,301995,6.88,0
"7",4110,269334,7.23,0
"8",4111,267631,6.27,0
"9",4161,296350,6.49,0
"10",4560,277223,6.37,0
"11",4401,269189,7.05,0
"12",4251,277133,6.34,0
"13",4222,282892,6.94,0
"14",4063,306639,8.56,0
"15",4343,328405,6.71,0
"16",4833,321773,5.82,1
"17",4453,272319,6.82,0
"18",4195,293880,8.38,0
"19",4394,300867,7.72,0
"20",4099,296872,7.67,0
"21",4816,245674,7.72,1
"22",4867,211944,6.45,1
"23",4114,227996,7.22,0
"24",4314,248328,8.5,0
"25",4289,249894,8.08,0
"26",4269,302660,7.26,0
"27",4347,273848,7.39,0
"28",4178,245743,8.12,0
"29",4333,267673,6.75,0
"30",4226,256506,7.79,0
"31",4121,271854,7.89,0
"32",3998,293225,9.01,0
"33",4475,269121,8.01,0
"34",4545,322812,7.21,0
"35",4016,252225,7.85,0
"36",4207,261365,6.14,0
"37",4148,287645,6.76,0
"38",4562,289666,7.92,0
"39",4146,270051,8.19,0
"40",4555,265239,7.55,0
"41",4365,352466,6.94,0
"42",4471,426908,7.25,0
"43",5045,369989,9.65,1
"44",4469,472476,8.2,0
"45",4408,414102,8.02,0
"46",4219,302507,6.72,0
"47",4211,382686,7.23,0
"48",4993,442782,7.61,1
"49",4309,322303,7.39,0
"50",4499,290455,7.99,0
"51",4186,411750,7.83,0
"52",4342,292087,7.77,0
