year,lake,ice_duration,air_temp
1868,Mendota,127,-2.2300000000000018
1868,Monona,126,-2.2300000000000018
1869,Mendota,131,-2.3132596685082896
1869,Monona,138,-2.3132596685082896
1870,Mendota,99,-0.37458563535911416
1870,Monona,100,-0.37458563535911416
1871,Mendota,126,-4.114835164835164
1871,Monona,142,-4.114835164835164
1872,Mendota,144,-5.276243093922651
1872,Monona,141,-5.276243093922651
1873,Mendota,136,-3.044198895027624
1873,Monona,136,-3.044198895027624
1874,Mendota,126,-5.741988950276243
1874,Monona,123,-5.741988950276243
1875,Mendota,91,-0.9115384615384609
1875,Monona,91,-0.9115384615384609
1876,Mendota,130,-3.366850828729281
1876,Monona,132,-3.366850828729281
1877,Mendota,62,3.1977900552486194
1877,Monona,62,3.1977900552486194
1878,Mendota,112,-0.36629834254143484
1878,Monona,115,-0.36629834254143484
1879,Mendota,99,0.7406593406593396
1879,Monona,93,0.7406593406593396
1880,Mendota,161,-4.501104972375692
1880,Monona,160,-4.501104972375692
1881,Mendota,78,1.270718232044199
1881,Monona,77,1.270718232044199
1882,Mendota,124,-2.928729281767955
1882,Monona,127,-2.928729281767955
1883,Mendota,119,-4.179120879120877
1883,Monona,120,-4.179120879120877
1884,Mendota,124,-6.309944751381216
1884,Monona,121,-6.309944751381216
1885,Mendota,128,-2.9740331491712717
1885,Monona,131,-2.9740331491712717
1886,Mendota,131,-4.986740331491714
1886,Monona,131,-4.986740331491714
1887,Mendota,113,-4.989560439560439
1887,Monona,137,-4.989560439560439
1888,Mendota,88,-1.082320441988949
1888,Monona,87,-1.082320441988949
1889,Mendota,75,-0.7193370165745855
1889,Monona,74,-0.7193370165745855
1890,Mendota,111,-1.2348066298342535
1890,Monona,113,-1.2348066298342535
1891,Mendota,97,-2.6142857142857148
1891,Monona,96,-2.6142857142857148
1892,Mendota,112,-5.341988950276244
1892,Monona,117,-5.341988950276244
1893,Mendota,101,-1.8845303867403307
1893,Monona,99,-1.8845303867403307
1894,Mendota,101,-3.2337016574585657
1894,Monona,104,-3.2337016574585657
1895,Mendota,91,-1.7060439560439558
1895,Monona,119,-1.7060439560439558
1896,Mendota,110,-2.2270718232044193
1896,Monona,123,-2.2270718232044193
1897,Mendota,100,-2.2784530386740323
1897,Monona,101,-2.2784530386740323
1898,Mendota,130,-4.3723756906077345
1898,Monona,129,-4.3723756906077345
1899,Mendota,111,-2.2038674033149186
1899,Monona,112,-2.2038674033149186
1900,Mendota,107,-2.619889502762431
1900,Monona,118,-2.619889502762431
1901,Mendota,105,-2.2138121546961336
1901,Monona,103,-2.2138121546961336
1902,Mendota,89,-1.0950276243093926
1902,Monona,85,-1.0950276243093926
1903,Mendota,126,-5.38956043956044
1903,Monona,140,-5.38956043956044
1904,Mendota,108,-3.2469613259668497
1904,Monona,111,-3.2469613259668497
1905,Mendota,97,-1.827624309392266
1905,Monona,115,-1.827624309392266
1906,Mendota,94,-2.3082872928176785
1906,Monona,106,-2.3082872928176785
1907,Mendota,83,-1.2164835164835168
1907,Monona,106,-1.2164835164835168
1908,Mendota,106,-2.239779005524862
1908,Monona,118,-2.239779005524862
1909,Mendota,98,-1.3895027624309366
1909,Monona,96,-1.3895027624309366
1910,Mendota,101,-2.273480662983427
1910,Monona,103,-2.273480662983427
1911,Mendota,108,-5.170879120879119
1911,Monona,113,-5.170879120879119
1912,Mendota,99,-1.9320441988950263
1912,Monona,104,-1.9320441988950263
1913,Mendota,88,-1.035911602209946
1913,Monona,83,-1.035911602209946
1914,Mendota,115,-1.7596685082872943
1914,Monona,115,-1.7596685082872943
1915,Mendota,102,-2.3901098901098905
1915,Monona,111,-2.3901098901098905
1916,Mendota,116,-4.283425414364642
1916,Monona,116,-4.283425414364642
1917,Mendota,115,-3.998895027624308
1917,Monona,116,-3.998895027624308
1918,Mendota,82,-0.14806629834253981
1918,Monona,83,-0.14806629834253981
1919,Mendota,110,-4.815934065934063
1919,Monona,116,-4.815934065934063
1920,Mendota,81,0.059668508287296154
1920,Monona,85,0.059668508287296154
1921,Mendota,96,-2.40497237569061
1921,Monona,96,-2.40497237569061
1922,Mendota,125,-2.881767955801104
1922,Monona,127,-2.881767955801104
1923,Mendota,104,-1.846703296703296
1923,Monona,103,-1.846703296703296
1924,Mendota,105,-1.7430939226519322
1924,Monona,103,-1.7430939226519322
1925,Mendota,124,-3.3403314917127087
1925,Monona,126,-3.3403314917127087
1926,Mendota,103,-1.964088397790055
1926,Monona,102,-1.964088397790055
1927,Mendota,106,-2.1032967032967034
1927,Monona,108,-2.1032967032967034
1928,Mendota,96,-2.934254143646409
1928,Monona,96,-2.934254143646409
1929,Mendota,107,-2.1861878453038686
1929,Monona,104,-2.1861878453038686
1930,Mendota,98,0.05580110497237685
1930,Monona,98,0.05580110497237685
1931,Mendota,65,-0.018681318681318795
1931,Monona,60,-0.018681318681318795
1932,Mendota,115,-1.8425414364640882
1932,Monona,107,-1.8425414364640882
1933,Mendota,91,-2.00939226519337
1933,Monona,103,-2.00939226519337
1934,Mendota,94,-1.6337016574585652
1934,Monona,98,-1.6337016574585652
1935,Mendota,101,-4.7274725274725276
1935,Monona,107,-4.7274725274725276
1936,Mendota,121,-2.8756906077348057
1936,Monona,123,-2.8756906077348057
1937,Mendota,105,-1.0906077348066272
1937,Monona,111,-1.0906077348066272
1938,Mendota,97,-1.451933701657458
1938,Monona,102,-1.451933701657458
1939,Mendota,105,-2.3461538461538467
1939,Monona,102,-2.3461538461538467
1940,Mendota,96,-1.652486187845304
1940,Monona,127,-1.652486187845304
1941,Mendota,82,-0.006077348066298812
1941,Monona,85,-0.006077348066298812
1942,Mendota,116,-3.3801104972375695
1942,Monona,114,-3.3801104972375695
1943,Mendota,114,-1.853846153846153
1943,Monona,101,-1.853846153846153
1944,Mendota,92,-1.06243093922652
1944,Monona,89,-1.06243093922652
1945,Mendota,98,-0.8154696132596695
1945,Monona,99,-0.8154696132596695
1946,Mendota,101,-1.8292817679558016
1946,Monona,108,-1.8292817679558016
1947,Mendota,104,-2.505494505494506
1947,Monona,108,-2.505494505494506
1948,Mendota,96,-1.0381215469613254
1948,Monona,92,-1.0381215469613254
1949,Mendota,109,-2.3508287292817682
1949,Monona,113,-2.3508287292817682
1950,Mendota,122,-3.881215469613261
1950,Monona,118,-3.881215469613261
1951,Mendota,114,-2.110989010989011
1951,Monona,112,-2.110989010989011
1952,Mendota,81,-0.5889502762430937
1952,Monona,93,-0.5889502762430937
1953,Mendota,85,0.239226519337017
1953,Monona,72,0.239226519337017
1954,Mendota,92,-0.9381215469613275
1954,Monona,83,-0.9381215469613275
1955,Mendota,114,-2.8675824175824176
1955,Monona,109,-2.8675824175824176
1956,Mendota,111,-1.3419889502762425
1956,Monona,92,-1.3419889502762425
1957,Mendota,95,-1.4563535911602212
1957,Monona,109,-1.4563535911602212
1958,Mendota,126,-3.532596685082873
1958,Monona,125,-3.532596685082873
1959,Mendota,105,-2.3005494505494504
1959,Monona,101,-2.3005494505494504
1960,Mendota,108,-1.1596685082872946
1960,Monona,98,-1.1596685082872946
1961,Mendota,117,-2.7850828729281742
1961,Monona,113,-2.7850828729281742
1962,Mendota,112,-2.9375690607734835
1962,Monona,112,-2.9375690607734835
1963,Mendota,113,-0.9637362637362622
1963,Monona,92,-0.9637362637362622
1964,Mendota,120,-2.6381215469613277
1964,Monona,114,-2.6381215469613277
1965,Mendota,65,-1.3734806629834257
1965,Monona,65,-1.3734806629834257
1966,Mendota,98,-1.351933701657458
1966,Monona,88,-1.351933701657458
1967,Mendota,91,-0.5675824175824172
1967,Monona,87,-0.5675824175824172
1968,Mendota,108,-1.6049723756906074
1968,Monona,101,-1.6049723756906074
1969,Mendota,113,-2.325966850828729
1969,Monona,92,-2.325966850828729
1970,Mendota,110,-2.39779005524862
1970,Monona,93,-2.39779005524862
1971,Mendota,105,-2.5461538461538464
1971,Monona,95,-2.5461538461538464
1972,Mendota,97,-0.4082872928176779
1972,Monona,90,-0.4082872928176779
1973,Mendota,105,-1.1657458563535932
1973,Monona,94,-1.1657458563535932
1974,Mendota,107,-1.3734806629834266
1974,Monona,95,-1.3734806629834266
1975,Mendota,88,0.7126373626373639
1975,Monona,90,0.7126373626373639
1976,Mendota,115,-2.6834254143646423
1976,Monona,103,-2.6834254143646423
1977,Mendota,123,-3.779005524861876
1977,Monona,121,-3.779005524861876
1978,Mendota,118,-4.054143646408839
1978,Monona,117,-4.054143646408839
1979,Mendota,99,-2.0115384615384606
1979,Monona,104,-2.0115384615384606
1980,Mendota,93,-0.2546961325966835
1980,Monona,86,-0.2546961325966835
1981,Mendota,96,-3.167955801104972
1981,Monona,100,-3.167955801104972
1982,Mendota,54,-0.6248618784530386
1982,Monona,56,-0.6248618784530386
1983,Mendota,111,-2.5719780219780217
1983,Monona,107,-2.5719780219780217
1984,Mendota,85,-0.9734806629834272
1984,Monona,92,-0.9734806629834272
1985,Mendota,107,-2.4337016574585637
1985,Monona,113,-2.4337016574585637
1986,Mendota,89,0.40552486187845477
1986,Monona,85,0.40552486187845477
1987,Mendota,87,-1.1203296703296703
1987,Monona,91,-1.1203296703296703
1988,Mendota,97,-1.006629834254142
1988,Monona,93,-1.006629834254142
1989,Mendota,93,-0.4027624309392245
1989,Monona,98,-0.4027624309392245
1990,Mendota,88,-0.2121546961325951
1990,Monona,88,-0.2121546961325951
1991,Mendota,99,-0.13351648351648177
1991,Monona,91,-0.13351648351648177
1992,Mendota,108,-1.31767955801105
1992,Monona,108,-1.31767955801105
1993,Mendota,94,-1.9657458563535906
1993,Monona,95,-1.9657458563535906
