"","Acacia","Bark","Habitat","Shrubs","Stags","Stumps","y"
"1",32,30,10,7,13,1,3
"2",5,13,3,6,16,0,2
"3",9,27,3,8,7,0,1
"4",17,17,9,7,15,0,2
"5",21,12,9,6,17,0,3
"6",32,7,11,4,17,0,2
"7",17,11,9,7,10,0,3
"8",18,5,9,14,21,0,2
"9",1,14,4,6,8,0,0
"10",9,10,2,9,5,0,0
"11",9,4,3,12,7,1,1
"12",10,4,7,17,6,0,1
"13",12,12,2,9,5,0,0
"14",1,15,8,10,7,0,4
"15",26,9,2,5,5,0,2
"16",17,14,8,10,11,0,3
"17",8,18,2,12,7,0,1
"18",24,9,10,9,12,0,3
"19",20,8,9,5,12,0,3
"20",14,13,10,9,5,0,1
"21",22,6,11,2,17,0,2
"22",24,10,9,4,9,1,2
"23",1,16,2,4,11,0,2
"24",17,17,3,6,10,0,3
"25",21,17,9,4,8,0,4
"26",6,15,3,5,11,0,2
"27",2,19,1,6,16,0,1
"28",34,5,10,3,6,0,1
"29",4,23,11,7,8,0,2
"30",5,12,3,2,11,0,3
"31",18,12,10,6,12,0,3
"32",14,18,8,4,9,0,3
"33",14,10,8,6,9,0,2
"34",4,24,5,22,4,1,3
"35",13,10,9,6,15,0,4
"36",14,6,5,4,6,0,0
"37",21,7,10,5,9,0,2
"38",16,8,9,4,15,0,0
"39",16,10,7,3,12,0,2
"40",12,8,7,7,3,0,1
"41",12,8,4,12,2,0,0
"42",2,6,2,12,2,1,0
"43",28,9,9,6,8,0,3
"44",16,10,3,6,3,0,0
"45",16,6,8,4,8,0,2
"46",24,6,6,6,8,0,2
"47",18,12,4,11,2,0,1
"48",14,10,4,16,7,0,2
"49",10,6,2,9,9,0,1
"50",5,9,4,6,7,0,1
"51",17,8,8,10,7,0,2
"52",3,6,2,8,6,0,1
"53",23,10,8,9,7,0,1
"54",18,4,2,4,1,0,0
"55",13,7,2,1,1,0,1
"56",12,8,5,12,3,0,0
"57",4,11,2,12,1,1,0
"58",5,16,3,11,2,1,1
"59",8,9,3,9,4,0,3
"60",1,7,3,7,3,0,1
"61",4,5,3,5,3,0,1
"62",40,8,8,3,7,0,2
"63",12,8,6,6,4,0,1
"64",24,7,7,3,5,0,2
"65",29,7,5,2,4,0,3
"66",20,11,8,9,5,0,1
"67",18,7,7,2,6,0,0
"68",25,8,6,2,3,0,2
"69",21,6,7,1,4,0,1
"70",21,5,9,3,5,0,2
"71",6,6,5,8,5,0,1
"72",4,8,4,6,3,0,1
"73",20,9,4,4,3,0,1
"74",20,7,8,1,11,0,2
"75",20,15,8,8,17,0,5
"76",21,8,9,4,11,1,1
"77",17,13,7,7,5,0,1
"78",6,5,4,1,4,0,1
"79",4,8,3,5,3,0,1
"80",13,10,4,9,3,0,1
"81",12,9,5,5,3,0,0
"82",4,9,4,6,3,0,1
"83",18,5,5,2,4,0,1
"84",18,15,5,7,2,0,1
"85",17,13,8,5,7,1,0
"86",8,19,6,9,9,0,0
"87",1,6,4,5,3,0,0
"88",1,7,3,3,5,0,2
"89",5,6,7,8,13,0,3
"90",4,6,7,8,14,0,0
"91",22,8,8,2,4,0,2
"92",21,7,10,3,15,0,4
"93",8,6,5,8,3,0,2
"94",25,10,7,2,5,0,2
"95",22,10,4,6,1,0,0
"96",16,6,4,1,3,0,1
"97",14,6,6,3,4,0,0
"98",20,4,8,2,15,0,2
"99",2,7,5,2,30,0,2
"100",17,3,4,1,3,0,0
"101",1,1,2,15,5,0,0
"102",26,7,7,1,7,0,3
"103",17,10,6,9,4,0,1
"104",25,7,6,4,9,0,2
"105",14,6,6,4,5,0,1
"106",1,6,3,5,8,0,0
"107",1,19,5,16,21,0,3
"108",1,4,4,1,5,0,1
"109",2,4,5,3,12,0,0
"110",8,4,3,3,6,0,2
"111",2,4,3,1,2,0,1
"112",10,6,5,2,3,0,0
"113",8,8,7,2,28,0,2
"114",18,17,9,10,25,0,5
"115",21,11,7,6,10,0,2
"116",6,14,7,11,19,0,1
"117",16,6,6,4,4,0,2
"118",14,5,8,3,21,0,1
"119",24,9,11,3,26,0,4
"120",24,7,8,1,5,0,2
"121",6,5,5,12,5,0,0
"122",9,16,9,13,31,0,4
"123",5,10,9,11,25,0,5
"124",5,6,6,8,9,0,3
"125",17,8,7,2,5,1,0
"126",1,4,5,4,7,0,1
"127",10,5,6,3,6,0,0
"128",6,7,6,4,4,0,2
"129",5,5,6,2,6,0,0
"130",20,7,7,2,3,0,2
"131",1,6,3,8,4,0,0
"132",20,7,7,4,6,0,0
"133",5,6,5,7,8,0,2
"134",18,6,7,3,5,0,0
"135",9,4,5,2,6,0,0
"136",8,5,7,4,5,0,1
"137",5,8,6,7,5,0,0
"138",2,9,2,12,2,0,0
"139",1,6,4,10,5,0,3
"140",4,5,7,2,24,0,0
"141",16,5,8,2,26,0,3
"142",14,11,9,7,32,0,3
"143",24,5,3,6,1,0,1
"144",13,4,8,9,9,1,2
"145",1,6,3,7,5,0,0
"146",1,3,2,3,5,0,0
"147",1,1,3,6,2,1,1
"148",18,7,7,5,4,0,2
"149",26,6,4,5,2,1,1
"150",17,5,3,6,2,0,0
"151",1,7,3,5,5,0,0
