"","Year","Fires","Acres"
"1",2018,58083,8767492
"2",2017,71499,10026086
"3",2016,67743,5509995
"4",2015,68151,10125149
"5",2014,63312,3595613
"6",2013,47579,4319546
"7",2012,67774,9326238
"8",2011,74126,8711367
"9",2010,71971,3422724
"10",2009,78792,5921786
"11",2008,78979,5292468
"12",2007,85705,9328045
"13",2006,96385,9873745
"14",2005,66753,8689389
"15",2004,65461,8097880
"16",2003,63629,3960842
"17",2002,73457,7184712
"18",2001,84079,3570911
"19",2000,92250,7393493
"20",1999,92487,5626093
"21",1998,81043,1329704
"22",1997,66196,2856959
"23",1996,96363,6065998
"24",1995,82234,1840546
"25",1994,79107,4073579
"26",1993,58810,1797574
"27",1992,87394,2069929
"28",1991,75754,2953578
"29",1990,66481,4621621
"30",1989,48949,1827310
"31",1988,72750,5009290
"32",1987,71300,2447296
"33",1986,85907,2719162
"34",1985,82591,2896147
"35",1984,20493,1148409
"36",1983,18229,1323666
"37",1982,174755,2382036
"38",1981,249370,4814206
"39",1980,234892,5260825
"40",1979,163196,2986826
"41",1978,218842,3910913
"42",1977,173998,3152644
"43",1976,241699,5109926
"44",1975,134872,1791327
"45",1974,145868,2879095
"46",1973,117957,1915273
"47",1972,124554,2641166
"48",1971,108398,4278472
"49",1970,121736,3278565
"50",1969,113351,6689081
"51",1968,125371,4231996
"52",1967,125025,4658586
"53",1966,122500,4574389
"54",1965,113684,2652112
"55",1964,116358,4197309
"56",1963,164183,7120768
"57",1962,115345,4078894
"58",1961,98517,3036219
"59",1960,103387,4478188
