"","WingLength","FlightTime","Order"
"1",5.5,1.69,16
"2",5.5,1.75,1
"3",5.5,1.81,21
"4",5.5,1.82,17
"5",5.5,1.87,30
"6",6.5,1.87,10
"7",6.5,1.9,5
"8",6.5,1.94,7
"9",6.5,2,29
"10",6.5,2.03,8
"11",7.5,2.03,4
"12",7.5,2.15,20
"13",7.5,2.16,23
"14",7.5,2.16,9
"15",7.5,2.22,12
"16",8.5,2.31,25
"17",8.5,2.35,19
"18",8.5,2.35,18
"19",8.5,2.5,13
"20",8.5,2.6,26
"21",9.5,2.5,27
"22",9.5,2.56,24
"23",9.5,2.59,15
"24",9.5,2.62,28
"25",9.5,2.69,2
"26",10.5,2.5,6
"27",10.5,2.6,11
"28",10.5,2.62,14
"29",10.5,2.62,3
"30",10.5,2.66,22
